Ageofplant,soilmoisture,soilhumus,temprature,humidity,waterrequired
4595,278,225,20,383,9089
4077,245,7,344,298,3766
2858,361,242,246,117,1171
3310,428,275,111,346,7537
4137,413,496,181,350,6046
864,109,207,100,449,709
1644,165,223,491,233,9962
3041,259,292,215,216,3973
3406,490,474,436,263,2045
2213,155,17,253,399,8079
4387,151,350,378,350,4896
2998,422,4,476,196,4658
4318,359,481,293,62,7703
1423,190,102,172,175,254
1178,101,94,421,397,2035
3788,14,405,419,82,4892
4775,176,327,177,260,7421
1812,332,435,381,319,1420
696,340,308,240,444,6375
2582,35,70,302,49,6269
1545,19,305,244,74,428
2625,23,347,298,411,8917
1105,404,62,114,426,6942
1760,500,248,40,277,3114
4809,143,283,492,472,9736
3462,499,267,373,281,4114
280,408,80,44,441,5198
4808,19,214,261,480,4829
345,484,89,455,451,7639
3344,472,200,449,409,3884
4110,185,86,122,83,4449
121,61,16,56,108,9880
446,268,395,444,1,436
2778,302,322,42,69,907
399,387,372,74,199,1926
3929,400,486,436,343,9697
2736,138,211,498,397,9881
2798,172,497,76,412,1249
1702,293,251,86,406,7688
4679,263,437,485,239,2421
953,465,266,269,208,661
2396,199,377,101,377,1193
4707,251,165,27,123,9098
4873,275,196,268,87,4334
2145,383,372,361,266,548
1337,8,427,415,478,5150
4084,332,13,449,482,4945
1952,16,11,258,358,806
3953,448,250,92,195,3034
400,236,107,476,429,4492
2108,186,262,152,243,2259
1139,254,47,454,111,929
3424,107,116,321,255,4690
4249,73,344,223,193,5418
4127,166,30,78,374,7850
2149,196,166,250,353,4511
3429,80,454,200,435,6482
4996,185,189,451,129,8635
1175,66,440,10,474,9311
1124,101,415,39,400,476
521,45,58,313,441,1119
898,241,188,139,204,7509
712,440,187,87,250,8061
4251,309,146,344,196,3936
3166,387,189,347,184,2116
3393,192,451,347,461,1659
2319,326,25,111,125,8823
3417,430,267,175,267,5805
1889,73,356,58,363,5291
164,221,170,377,175,1823
4913,175,449,459,478,7133
4894,371,352,129,453,52
553,410,198,283,179,3255
4355,93,57,329,281,9471
1692,335,457,260,175,8809
3797,212,224,200,163,6025
709,91,412,445,482,9105
2142,419,277,134,385,7620
198,417,331,350,214,76
993,389,286,8,254,2650
2768,109,334,223,135,9783
4912,25,494,341,265,3587
4054,238,56,486,218,3128
4010,88,209,388,360,2715
502,445,80,154,360,7973
214,409,241,222,424,8610
1290,143,105,347,385,6882
4585,255,59,464,123,2784
4764,105,39,300,341,5457
4027,473,364,347,389,2207
3482,451,342,265,451,6594
3204,455,422,101,406,702
4102,322,255,45,376,803
1891,348,362,237,288,7052
652,66,387,458,418,58
1721,496,152,231,299,4241
431,63,213,236,353,5683
1264,170,291,471,296,3046
1885,405,233,188,44,6373
3535,500,98,423,447,8587
4555,41,440,304,177,3817
4548,152,96,485,168,8487
916,499,45,489,15,201
1852,347,267,262,301,4762
3718,428,351,99,278,4800
2799,154,177,42,322,761
2733,169,338,100,275,2426
973,429,25,284,423,8601
1248,484,247,347,216,3931
5000,289,268,253,394,1068
2032,211,233,402,210,4169
1964,203,373,466,435,2274
3845,338,482,481,453,9226
3949,203,16,305,239,3509
1615,421,346,97,357,744
1234,425,253,222,131,4175
2190,465,225,10,71,9443
4952,163,486,206,252,854
2462,356,177,309,322,1361
3232,292,428,59,155,4541
930,346,401,416,15,6876
559,93,249,192,10,7454
3439,439,43,498,241,2847
4435,123,407,151,310,1010
2756,420,277,310,326,5444
4641,200,147,305,114,3725
3201,415,370,56,69,851
3275,81,169,361,124,6409
3832,151,30,231,89,3718
3579,62,155,413,416,2881
2636,180,18,176,120,5735
3698,297,149,113,317,5379
2796,354,81,216,126,990
4576,204,416,14,398,7968
3487,88,60,225,388,5354
1353,57,296,235,164,7894
2161,351,370,41,475,5404
4062,266,356,381,186,5741
1842,5,6,410,5,3596
406,398,246,434,184,370
1824,360,336,219,463,9109
14,85,101,56,100,3580
3490,254,241,414,3,1516
741,295,79,81,68,3082
4657,200,63,236,192,78
2013,175,209,117,114,7360
1992,491,358,275,123,8667
2862,478,22,88,85,5755
800,132,356,452,39,3022
2638,97,201,112,40,1752
1688,263,129,212,46,5538
915,208,21,298,347,2076
547,286,70,152,71,3638
3076,307,117,201,17,5676
78,165,326,10,114,2647
2433,485,294,80,327,4996
4702,491,178,387,469,934
2345,491,357,380,355,4756
173,405,338,322,413,8716
4230,371,138,133,34,1877
907,261,60,163,20,5354
1853,65,171,8,56,1677
3447,337,396,477,233,8360
3738,188,75,208,384,2576
3570,14,272,248,100,7976
1499,47,491,190,86,1449
2468,153,41,237,25,4921
116,397,386,418,121,253
400,310,13,24,47,6397
2852,276,484,307,123,9273
2169,162,166,407,155,774
4129,298,215,143,228,5896
4913,121,41,292,414,6770
2179,93,395,430,426,9372
2606,196,399,34,353,4141
2867,291,283,134,53,798
101,7,271,298,219,4620
4084,256,161,197,396,6864
4930,500,366,408,364,8366
3019,164,440,335,214,2157
2654,134,174,191,203,6246
2509,375,488,259,316,1552
3525,495,290,462,91,3991
2108,280,315,256,114,6275
552,395,178,357,171,3888
1289,261,76,37,203,3428
4933,122,356,497,221,1709
3219,321,34,296,120,3959
4265,165,195,217,452,3875
4455,150,440,98,57,8893
4796,38,386,458,397,375
2517,404,179,294,195,9491
4273,362,106,51,6,1271
1200,127,60,398,336,3155
1926,225,379,277,439,6500
633,35,178,373,18,9617
2534,361,107,210,413,1464
3887,74,34,130,377,1502
4466,187,159,136,144,9726
3862,372,22,287,285,2801
4528,300,474,145,97,712
4177,489,465,320,409,6089
3788,365,34,289,478,4989
1785,499,191,51,10,4113
4669,213,190,275,298,768
2211,85,10,291,497,4345
4322,431,307,305,156,9341
267,7,284,131,107,1096
268,123,266,310,305,4787
1904,365,7,118,244,9672
3322,248,407,491,189,6009
1598,148,192,227,409,9647
3466,96,325,165,424,5850
1500,225,293,210,286,6459
955,10,220,400,131,3294
1922,41,9,290,185,7569
3515,287,256,498,99,5203
219,406,464,336,119,7515
2384,274,146,155,468,1761
3840,496,126,201,102,4615
2086,230,68,120,75,9019
2954,289,241,500,377,7911
2817,126,90,110,298,8249
1755,314,442,171,182,6578
2055,56,461,50,451,4647
2763,379,302,299,467,9509
3861,499,292,148,399,2090
3565,439,471,134,115,818
2980,32,399,300,277,5930
3424,264,121,162,31,2981
2657,164,285,324,233,7889
983,59,73,160,69,7699
287,178,480,437,95,3415
1563,40,155,119,342,8585
766,485,240,449,79,567
2456,448,247,189,302,4580
3119,200,121,465,414,1225
3059,208,299,143,204,4724
1541,279,59,321,212,6139
4051,104,2,297,105,5217
2521,228,321,394,71,7758
3917,197,322,188,340,5057
2243,104,352,359,4,4365
4924,378,129,415,194,3543
889,382,386,3,127,6276
189,332,259,498,461,3851
3245,136,416,248,391,2203
2873,35,74,498,199,4834
435,359,453,399,153,3600
3836,325,9,96,4,160
547,197,217,263,14,8838
4014,251,451,208,209,2123
2469,431,346,161,302,3536
1104,84,293,441,419,5498
2790,217,223,39,483,1883
2401,432,193,116,476,781
3647,108,322,446,259,2280
1502,353,19,496,277,9251
4753,376,356,367,280,4675
2776,187,419,333,54,3995
1964,66,25,14,484,9244
2542,403,226,195,119,5702
4348,361,32,131,85,4446
1226,390,143,484,497,4268
625,195,158,336,114,3050
1967,144,468,308,96,66
4127,469,254,105,210,1315
163,285,252,290,228,3753
3259,79,285,391,199,8560
599,240,385,29,324,7651
3822,142,490,242,150,2724
3103,309,421,127,146,4334
1867,358,43,266,131,4066
4932,139,231,302,299,5322
2396,489,494,16,451,5746
2149,469,312,216,166,596
2489,206,264,457,483,1256
2066,478,409,48,76,2853
4846,76,272,128,438,3527
705,159,217,488,451,4962
3931,66,164,252,222,1479
478,71,241,122,122,6891
3308,426,5,63,127,2018
2401,422,469,461,327,2285
259,358,12,309,225,7580
2557,188,316,126,211,6978
3301,320,176,427,304,2585
2062,311,382,98,127,6956
2489,357,53,253,301,3692
80,270,205,42,299,4678
2208,206,61,280,147,1805
4041,196,17,365,171,1353
2628,407,205,366,357,8250
2304,472,69,3,278,7399
2216,123,4,352,302,8227
181,393,411,107,22,6921
2026,234,162,63,243,166
2549,323,384,459,424,2205
190,276,102,427,14,4645
1906,137,125,365,102,279
3113,311,450,356,454,8045
1505,349,414,357,365,6798
1051,55,178,376,5,1235
4016,210,307,82,395,9911
883,485,463,392,99,321
2766,371,294,71,87,1824
3671,387,363,130,307,3266
3696,435,491,398,131,994
2677,16,66,75,18,571
3752,224,167,135,4,9052
2526,128,300,93,444,5790
3525,428,48,346,32,1048
3867,236,371,42,477,3292
2027,13,21,239,59,5869
4544,480,206,5,395,7354
4,178,462,22,397,9288
718,317,7,2,249,5954
1558,30,299,105,385,4274
1175,388,462,88,321,7658
4761,24,7,75,98,1754
2774,356,49,374,401,7073
933,214,291,181,113,936
1430,158,273,420,189,7476
4696,108,2,261,204,5479
1832,8,430,332,223,1879
2843,465,34,165,324,742
4382,101,301,262,337,5582
1227,215,427,88,40,9972
2383,374,4,287,3,1816
2433,239,364,144,72,1034
920,171,263,481,364,9466
1123,431,284,152,360,1644
592,54,143,383,461,1927
4939,7,202,125,122,6974
1179,12,315,400,188,816
173,342,439,127,73,1157
4195,11,442,163,386,1836
1893,373,275,396,39,570
2393,485,346,457,218,6621
2260,447,263,45,326,5392
3514,500,44,170,479,7100
3873,123,372,50,273,4019
161,75,363,25,233,3015
231,447,253,60,15,6591
1532,442,300,137,218,8560
771,151,222,335,96,505
4015,490,356,402,31,3065
2575,333,219,267,156,4578
3305,242,403,267,124,6086
3948,482,417,35,14,277
2775,326,13,245,414,30
3506,21,352,145,423,661
2602,158,171,352,393,5103
2641,42,476,36,407,6787
43,416,134,425,77,738
2151,438,425,477,281,3436
4708,326,468,314,439,197
1381,457,460,464,377,3296
2426,131,111,14,159,8153
1201,466,168,319,165,7914
1005,275,481,52,151,7199
2092,163,6,309,257,9377
3555,400,213,179,166,9713
1365,119,35,299,482,5249
4805,438,74,278,163,6513
1234,165,193,333,390,5039
976,145,481,99,184,8160
4310,143,232,146,162,1104
712,330,184,88,122,9504
4781,58,373,270,420,3351
1401,398,226,326,408,232
1411,84,292,326,378,7907
4655,160,62,471,95,9011
3209,389,38,486,386,7362
1985,429,120,370,369,9059
993,489,495,256,7,2021
4922,352,356,418,175,1048
3454,123,239,367,253,8902
3747,106,6,297,407,87
4482,212,407,236,326,2200
2969,324,324,299,157,4234
966,77,183,34,118,1909
504,447,85,356,435,7059
895,478,315,222,281,9447
3818,79,46,359,442,6203
386,431,126,481,361,7336
1156,378,122,232,416,466
3836,394,213,324,219,380
1312,131,445,142,461,5253
396,195,468,112,282,1556
2113,262,284,279,273,1715
2267,217,360,27,482,2766
857,18,288,273,443,2526
945,221,11,483,267,8103
4693,245,140,364,113,8210
2347,185,15,381,212,8454
1270,161,69,126,184,5068
2699,281,262,472,11,8710
1357,251,451,490,442,7377
367,279,103,32,431,9762
2837,166,356,76,81,6961
2288,102,282,157,436,8448
1322,322,338,119,371,36
2006,196,469,463,426,3511
3305,458,499,374,37,2213
4173,383,34,316,377,8474
3952,272,166,128,436,1961
677,425,16,447,43,5459
4614,54,361,87,271,8699
4088,410,364,79,495,6061
1917,39,337,65,256,5849
2449,164,30,483,16,2330
2580,343,397,178,314,517
329,195,488,379,354,5037
4778,239,424,404,203,2419
1010,355,76,496,337,3983
3800,300,289,98,377,4199
2980,407,300,25,92,8839
4642,279,461,211,409,4174
1996,38,64,183,416,6806
3426,78,69,297,1,9513
992,425,432,269,79,474
4861,260,299,460,249,5331
2908,302,248,478,395,3002
734,31,419,211,146,5912
4631,313,7,277,16,5195
1257,11,57,263,104,4915
918,396,339,100,231,5801
4633,94,321,157,420,6933
764,73,485,48,466,890
1865,378,122,316,290,6009
667,384,35,104,447,8021
2137,31,366,397,348,2277
952,328,107,156,127,2974
4532,490,418,79,295,3785
2539,81,277,492,259,3304
4761,184,167,302,242,5918
1622,206,373,226,466,6781
2842,308,65,490,397,2665
512,492,460,70,89,3027
4343,319,240,359,95,1873
2666,311,92,448,386,6889
504,255,253,89,371,8605
1720,496,287,121,82,7063
1744,439,307,176,8,6774
823,55,390,206,365,1574
3542,330,55,111,421,3889
1481,453,283,251,211,4280
3647,156,126,470,357,4202
2839,215,363,112,492,7423
2993,455,393,148,158,3892
2814,339,360,305,204,9503
3399,106,187,313,35,1885
2590,435,163,234,484,2937
851,248,106,273,354,2787
3280,57,41,372,457,2191
1125,37,368,434,259,9695
1583,341,114,396,226,2404
1954,467,70,270,182,9618
342,485,305,420,140,425
1154,118,65,153,69,9613
3166,219,91,22,349,8452
977,70,466,408,344,5470
3536,253,127,158,250,4535
2953,265,436,409,232,2034
4227,142,436,373,199,1025
1614,405,371,364,473,2443
1896,226,270,264,52,6775
1854,78,331,133,176,9224
4669,49,430,454,130,9337
4347,56,116,229,64,6925
792,280,214,500,45,4881
4098,453,43,253,461,7429
4021,68,398,215,26,463
4949,439,412,107,185,1124
440,454,387,373,116,889
4448,197,190,323,246,7259
3828,217,432,446,355,2115
1098,489,120,277,413,989
2001,86,334,487,363,1276
2551,434,374,358,439,1991
3586,43,405,6,21,9255
2722,433,193,465,70,1898
3024,334,433,216,482,3778
2688,480,326,213,498,1173
2946,302,28,407,376,3937
2349,439,147,165,467,2260
2021,415,226,36,318,3779
1936,149,208,211,27,8967
4795,156,199,121,89,840
4824,377,405,91,437,7895
4947,445,161,399,107,7127
3991,91,251,229,318,9474
1332,171,221,271,461,897
4026,247,302,158,39,6484
1991,362,28,297,284,8115
1198,349,248,41,33,1181
2077,48,4,415,474,8687
4706,192,454,483,403,549
3237,262,439,479,462,7359
1707,223,488,273,458,5618
2781,271,152,488,436,8751
107,110,319,219,35,8168
3983,33,360,110,483,7659
2931,434,158,205,336,1690
4864,42,458,202,204,116
2015,112,328,67,438,7198
1617,288,206,105,183,6360
1282,12,150,207,213,5087
1403,62,465,400,251,5944
248,10,339,55,335,7082
2560,12,140,21,1,7845
3398,202,55,41,267,8441
1062,298,258,455,389,4691
598,417,470,271,333,5401
4661,200,376,41,472,8227
4233,86,292,174,203,8723
2817,303,124,289,117,6929
113,164,254,356,13,6864
3220,147,219,440,102,7840
3528,137,489,8,89,5424
2775,28,209,188,230,4108
2296,156,232,455,216,3164
1972,376,226,369,234,4432
1080,411,457,333,337,6549
1656,77,481,213,351,5423
1188,16,370,249,72,3255
4493,476,191,78,143,3804
4377,412,466,488,67,6041
40,236,441,380,258,3554
4756,324,484,474,7,6427
1913,467,470,419,102,118
3841,212,148,223,286,6583
3316,332,35,346,331,9474
2396,456,340,305,436,7423
2062,303,445,381,176,7541
977,123,82,106,448,8365
3459,183,73,294,5,3844
2636,56,190,108,398,9568
578,218,189,387,101,6250
3854,292,446,119,73,7760
1340,77,137,261,206,2887
1879,103,483,146,457,1667
3797,317,69,84,5,5412
3461,238,322,356,90,7249
1987,296,64,55,310,6973
1728,138,151,194,4,102
3191,84,445,315,157,8233
3760,408,497,232,14,3170
4515,12,396,255,448,4901
4370,332,347,33,282,4473
3810,356,343,288,278,7959
608,75,184,499,145,7000
3701,496,108,120,284,3955
1524,305,272,204,420,6858
3852,101,352,288,42,2262
1917,133,121,387,333,8341
3010,411,281,447,55,2814
4752,493,315,438,247,3515
2452,163,53,218,207,3448
1075,456,66,153,434,8199
2900,253,430,353,66,7907
3008,361,466,233,382,6230
588,332,463,324,111,9579
1639,419,214,101,414,1557
3576,468,144,389,389,3801
3261,378,1,428,387,7149
1843,316,59,6,416,7325
1168,402,243,496,409,3104
3657,254,210,308,420,9717
1399,483,198,120,420,4062
3905,268,280,448,130,5529
4645,286,426,341,472,1304
2633,311,296,1,147,5130
3992,392,366,429,37,2949
1944,202,115,89,249,5240
4836,390,358,184,319,9404
4818,169,231,346,372,1112
4391,130,54,9,193,8558
386,264,54,160,278,8965
66,381,93,194,126,6749
1026,482,327,267,462,8309
4176,61,2,267,465,6979
3748,341,371,3,222,6693
385,183,463,23,91,6471
2362,306,494,302,114,6952
821,405,1,252,342,7933
145,441,4,396,188,8815
2483,85,175,148,182,6708
3872,102,11,85,329,628
1457,351,366,353,27,8437
4970,219,416,410,317,6197
1391,319,335,3,158,9019
4507,30,25,244,312,3430
2852,64,178,408,318,2553
4034,252,95,167,140,4497
2431,112,263,79,139,8392
1972,204,45,118,52,7790
1206,67,141,416,197,8247
1084,286,212,367,172,2287
1236,156,18,327,464,9319
4418,326,295,323,373,1975
2214,380,68,172,112,4196
2188,252,227,434,90,470
1234,311,220,130,232,5190
1982,78,429,180,251,2980
4520,19,344,82,339,5239
4342,277,423,146,334,1416
3719,393,269,379,486,4035
1946,336,31,13,296,955
1719,358,277,458,256,584
866,140,223,68,4,2930
346,194,262,118,170,5720
1384,326,341,10,28,3955
355,63,375,197,361,5206
3592,182,159,80,497,696
35,162,149,157,354,6093
4748,410,499,167,431,1751
1685,263,486,444,474,2337
892,253,298,145,408,993
2694,227,257,302,272,5075
4496,27,271,305,493,7926
3889,253,488,135,83,9570
1914,346,13,111,454,7156
3787,249,337,275,323,6205
1840,391,283,375,337,7192
3608,230,358,461,316,206
4971,72,403,210,203,5862
1251,383,410,335,156,1752
2495,245,177,235,411,9836
512,285,201,219,360,2017
4007,56,191,482,153,5060
4017,125,408,488,286,9968
2000,47,190,302,478,5577
1618,156,305,196,452,4413
2129,170,490,234,343,6129
3057,478,96,246,169,9983
4230,104,418,157,236,2286
3446,207,8,320,241,3959
2743,173,99,51,268,2301
4343,58,437,96,63,3170
1432,20,237,57,469,9637
53,396,31,491,262,3215
4016,125,469,276,400,8147
2080,359,496,464,324,3071
3690,345,113,147,153,3353
4904,293,239,369,127,8165
529,364,305,36,254,973
3591,138,390,427,40,8623
1465,255,274,381,335,8969
2279,185,110,163,191,3370
273,420,107,404,139,3963
1281,468,206,149,61,523
158,240,498,1,385,7084
2991,420,30,162,85,3702
718,342,222,9,441,7322
4506,462,407,281,469,7865
4906,187,364,163,170,2260
2987,174,315,236,462,6243
2359,427,494,145,386,5013
2482,250,124,73,420,8383
2177,341,321,302,402,9794
2880,301,234,247,289,7258
3519,450,159,426,475,3638
395,125,270,482,399,8792
1403,290,51,448,148,2755
3213,123,394,407,250,311
3927,299,109,493,112,8882
189,364,101,7,250,732
1162,269,138,349,50,6759
1861,242,235,393,366,2321
4654,435,104,342,328,6411
3967,136,135,142,412,82
3566,177,168,132,99,3755
3638,106,484,109,50,8285
2203,463,290,478,318,9493
3570,102,461,91,418,6876
2641,458,322,328,468,8520
2389,83,483,413,489,1478
1748,364,304,495,383,5368
3078,386,67,164,96,1405
2513,247,475,104,338,8342
1850,66,457,135,355,6406
936,465,23,324,193,6001
1783,240,300,389,480,3594
3078,489,29,292,254,2232
2012,325,468,304,490,9450
2065,453,437,403,95,7082
4048,9,327,334,367,4097
1152,271,472,348,349,3009
378,464,486,54,263,9025
3529,13,300,29,57,517
1870,177,32,89,472,3020
4557,323,243,316,156,489
2373,395,223,396,396,9998
3714,69,358,480,296,1470
1453,36,214,328,92,860
4569,366,308,70,414,5881
4926,274,355,50,208,8993
4655,226,254,468,464,7274
1413,91,398,13,481,6770
2726,365,276,332,351,6966
4208,13,131,459,127,6017
698,476,237,49,385,8149
656,18,253,438,413,535
2173,62,371,94,451,937
3340,122,8,486,229,337
4437,210,366,112,304,3615
2624,55,263,326,324,9330
4627,293,394,12,350,5035
4211,115,197,27,58,4595
4272,443,41,100,32,1666
3502,314,139,31,163,315
809,492,338,16,479,9399
4370,491,66,264,179,2531
2201,336,219,143,17,2446
883,258,204,77,467,4502
2283,55,267,215,32,5549
4361,6,406,397,240,3782
3454,323,402,198,245,4403
3837,268,452,9,250,9485
4980,464,39,45,164,163
229,456,338,232,181,4362
2224,167,141,369,184,4210
4835,52,208,189,20,302
6,107,473,364,495,2985
2151,336,190,26,308,999
3267,340,205,140,176,6225
261,500,259,158,193,9344
4779,222,260,474,418,7424
229,224,432,31,406,4909
2684,187,58,410,107,552
4009,368,337,226,352,4813
4052,172,474,1,443,1503
3439,133,476,369,107,4866
3268,429,268,56,116,4254
927,110,109,472,86,7090
174,246,440,478,209,5824
259,107,485,417,195,9475
177,397,275,431,29,6590
502,394,294,89,402,1608
538,142,59,47,215,3062
2759,247,464,432,202,5207
2698,78,310,361,347,7840
2700,240,103,241,143,8738
2203,497,132,340,238,2935
1549,355,128,412,308,5562
4087,333,314,421,78,8257
810,135,155,324,500,7171
4955,378,312,442,89,7999
1502,200,173,2,113,6980
665,111,206,189,137,8660
226,273,240,11,267,3614
3793,308,252,101,421,5860
4748,273,216,191,199,1734
754,257,314,293,456,4075
3551,460,401,277,311,6197
1123,44,289,381,487,6687
707,89,30,283,40,6622
4392,69,82,421,19,7300
879,190,476,282,92,1299
2848,81,29,71,96,3175
2066,496,489,146,445,2787
2431,414,248,399,256,8367
3790,200,450,303,155,2413
2830,314,103,192,124,4900
54,201,77,141,450,9899
1115,113,475,259,58,3497
1347,260,361,125,129,6790
2795,464,48,401,462,7579
932,9,400,342,392,7705
3566,162,249,411,185,7427
3965,93,236,481,94,2624
3966,263,389,298,230,7443
898,52,59,5,185,7713
3113,287,72,350,87,9373
3497,476,341,270,465,1182
874,130,27,20,415,1447
16,80,468,322,482,5087
1227,499,415,164,469,8171
509,489,400,371,415,7638
4424,287,182,493,348,5477
1260,335,382,314,276,5181
13,240,467,359,362,670
4698,308,300,378,165,8545
3047,465,182,113,216,86
622,12,299,311,294,8104
1574,484,364,109,412,2882
1163,285,288,144,182,3654
3657,142,444,165,28,7686
3200,353,84,68,241,124
3399,255,390,10,426,8024
2167,153,180,219,207,1713
4902,256,464,245,390,9926
2320,492,353,217,84,2342
4706,298,368,172,267,4296
4672,217,33,251,329,7967
3111,176,484,219,357,7177
4593,372,387,219,192,7656
171,159,427,229,377,8199
1236,496,88,382,267,1382
3227,340,85,59,488,3216
199,37,19,12,123,1280
3554,460,104,386,366,3106
2807,353,286,90,44,6435
3774,359,230,73,450,9478
3412,262,424,292,340,7391
1238,464,303,97,19,126
4969,18,68,66,117,8403
4608,119,257,246,284,8590
4044,403,380,342,454,9609
3561,431,17,63,255,5220
734,337,126,363,138,6722
47,146,418,24,382,8557
313,385,171,53,371,7845
1594,226,403,487,242,619
3998,327,92,392,256,9086
1946,450,401,404,104,3819
2682,392,218,348,280,1245
4989,121,33,210,51,7086
4046,394,359,132,178,6067
3102,330,79,269,101,245
3117,15,338,328,306,8679
4262,161,4,476,248,2742
33,465,329,291,199,6491
2807,239,443,358,108,2947
4084,452,440,447,199,7961
1639,52,111,174,21,3866
4875,202,143,199,257,283
3677,241,323,170,30,64
2067,494,202,344,431,173
1576,415,122,207,393,2309
4488,443,403,69,151,6913
2108,182,322,144,249,9851
4366,273,1,243,290,565
4989,144,81,128,436,8124
1216,177,449,448,200,9726
686,267,247,240,410,3911
4277,45,324,75,265,1769
4320,334,76,116,211,6672
4350,133,228,56,208,4785
850,337,102,458,16,7644
1615,87,403,64,315,6200
3864,251,330,433,42,8654
2810,432,69,352,61,1173
4641,413,441,417,294,7152
2611,406,135,122,288,9914
4445,482,221,280,203,7235
3344,318,53,218,152,3055
3755,233,122,386,174,2668
2306,19,496,273,264,8692
3871,364,273,209,160,166
1192,447,169,57,363,411
3895,59,211,63,184,7056
628,16,202,5,454,8097
4790,244,77,11,392,3300
3736,267,162,250,231,4854
2215,462,24,421,130,3464
2692,61,309,253,488,3985
2197,315,274,272,26,8731
3410,400,143,214,203,9475
3300,18,69,348,281,4093
4964,19,400,124,301,3538
1770,16,89,340,289,4520
196,98,251,7,182,2365
3647,391,262,44,167,9740
2631,390,1,68,201,9547
2071,423,275,223,231,7244
511,495,94,156,147,9699
3832,208,297,493,110,2214
386,446,188,377,152,8201
410,413,191,56,56,5319
1632,382,53,254,368,5360
3607,459,285,410,145,8670
2982,213,240,235,173,1981
2966,5,311,109,52,611
124,64,195,193,84,3326
3976,58,332,101,460,6615
1786,396,19,76,471,2771
3957,462,113,186,385,5202
1283,108,386,1,113,3840
2056,287,137,392,427,5687
4303,219,57,10,378,6947
2298,151,224,355,114,4222
4089,403,175,143,47,1148
2523,311,366,26,172,9163
3864,179,34,213,148,3564
736,403,300,401,316,4878
2271,368,196,302,250,5719
3736,222,5,29,394,4720
2338,154,101,285,470,9284
2120,265,210,443,172,1619
4085,281,324,271,487,8228
205,475,242,183,443,1397
2137,134,340,176,184,3972
4128,115,391,222,415,2696
2058,239,242,411,119,9634
4807,217,160,414,56,4193
3210,476,490,250,216,4815
4760,465,365,185,154,4859
4593,274,460,261,288,8437
4313,71,140,85,408,6025
1352,305,342,153,87,7970
1062,170,229,322,232,159
3574,145,147,293,452,8447
2785,182,459,264,197,2132
4041,193,60,314,21,1490
1788,196,334,30,91,5055
3378,286,219,202,360,3501
3806,475,327,90,7,1695
3885,52,10,458,465,4979
439,477,418,41,159,4039
3651,474,122,395,419,7824
4282,173,435,124,383,8006
3408,209,15,415,351,3789
3205,66,106,282,240,5525
2633,16,52,222,286,6105
272,227,355,491,323,5688
2385,466,383,64,95,4196
1299,141,154,42,500,9504
258,26,488,304,354,1105
3227,271,478,346,5,1587
4177,203,179,212,216,9243
2025,136,438,113,297,729
745,143,447,103,441,305
4316,291,481,243,344,5744
4685,90,334,288,160,4533
3209,222,369,466,486,8889
3538,329,452,77,52,3995
1651,309,118,262,295,2079
978,154,139,252,281,3714
97,418,157,430,247,9591
1793,142,2,197,93,9074
3341,145,100,279,437,971
1473,62,177,402,354,9751
3821,165,139,446,103,6893
4032,463,362,145,260,5545
676,497,47,467,55,3121
4367,156,383,189,132,4682
3356,437,375,379,126,1472
2020,314,200,173,225,4249
1507,473,129,371,67,3587
2505,389,23,316,228,4236
2567,233,388,381,26,909
6,343,421,442,59,4567
3257,39,315,274,436,7518
3463,151,235,336,116,3013
598,466,459,337,188,699
3065,250,312,269,392,4006
4819,271,491,137,413,2831
430,457,247,141,255,3767
2890,228,198,393,349,3608
2241,134,254,317,218,8153
2750,431,329,458,287,911
4934,347,24,41,151,628
1991,455,460,78,348,17
1732,496,426,12,318,5959
873,235,21,339,475,2309
1887,486,190,215,262,5596
1232,333,476,103,475,2311
1046,187,119,94,316,4203
310,443,457,162,51,3696
249,207,464,265,150,2492
2338,211,90,408,369,6946
4852,321,364,158,272,4136
1261,452,173,321,286,6561
3614,445,13,361,433,1995
1450,222,403,226,203,7440
660,321,158,183,95,9552
3238,379,87,12,78,6702
698,76,115,419,110,3114
1796,176,478,425,25,6044
1905,291,214,9,93,5739
888,379,33,19,422,5517
4065,487,366,451,19,4574
4168,345,407,340,131,9733
600,70,456,40,385,2877
1542,116,245,100,56,1616
1675,127,454,361,219,9219
3063,98,460,384,362,4178
1045,435,287,28,500,5239
1099,135,473,406,431,7638
2452,409,26,197,413,5211
4549,72,399,418,480,501
1731,162,12,422,209,1843
82,313,459,402,463,9560
3013,122,403,396,391,6158
366,110,60,290,200,3358
513,182,82,461,495,5201
3444,198,161,339,479,97
2094,466,134,111,73,4281
1164,50,137,324,224,8271
210,180,442,61,361,5282
3056,442,109,68,376,4638
4369,136,34,40,109,346
3208,191,50,213,14,8659
4642,78,324,465,212,5427
788,254,177,67,167,9777
1783,426,374,485,467,9998
3171,381,36,17,401,6068
2502,276,13,191,433,8180
1199,244,79,405,360,246
1836,99,81,220,49,22
2494,232,274,403,354,9493
3012,353,479,350,34,4360
1782,202,239,30,411,3621
3070,5,211,145,200,8742
532,157,354,293,421,9873
2486,427,144,389,475,7797
1296,11,487,118,136,6844
3906,223,376,171,88,4751
4802,297,238,311,71,7160
3696,137,282,50,491,316
482,490,298,182,11,3268
4170,339,308,451,368,7393
2520,448,395,104,202,5041
4324,163,448,358,452,3298
4988,481,77,465,17,1172
2727,186,392,486,85,3608
1539,187,404,242,496,918
